Week,Lecture,Title,Filepath,Links
Week_13,Lecture_01,Wk13-L01 Intro to MySQL.pdf,../Week_13/Lecture_01/Wk13-L01 Intro to MySQL.pdf,https://github.com/coding-dojo-data-science/data-enrichment-wk13-l01-activity
Week_13,Lecture_02,Wk-13-L02 Database Admin.pdf,../Week_13/Lecture_02/Wk-13-L02 Database Admin.pdf,databasestar.com
Week_13,Lecture_02,Wk-13-L02 Database Admin.pdf,../Week_13/Lecture_02/Wk-13-L02 Database Admin.pdf,https://sqlzoo.net/wiki/SQL_Tutorial
Week_13,Lecture_02,Wk-13-L02 Database Admin.pdf,../Week_13/Lecture_02/Wk-13-L02 Database Admin.pdf,c.name
Week_14,Lecture_01,Wk 14-L01 - JSON & APIS.pdf,../Week_14/Lecture_01/Wk 14-L01 - JSON & APIS.pdf,https://github.com/coding-dojo-data-science/data-enrichment-wk14-l01-json-activity
Week_14,Lecture_01,Wk 14-L01 - JSON & APIS.pdf,../Week_14/Lecture_01/Wk 14-L01 - JSON & APIS.pdf,https://github.com/coding-dojo-data-science/data-enrichment-wk14-mapping-yelp-results
Week_15,Lecture_01,Wk 15-L01 - Mock Belt Exam.pdf,../Week_15/Lecture_01/Wk 15-L01 - Mock Belt Exam.pdf,https://github.com/coding-dojo-data-science/data-enrichment-mock-belt-exam
Week_15,Lecture_01,Wk 15-L01 - Mock Belt Exam.pdf,../Week_15/Lecture_01/Wk 15-L01 - Mock Belt Exam.pdf,github.com
Week_15,Lecture_02,Wk 15-L02 - Hypothesis Testing with Python.pdf,../Week_15/Lecture_02/Wk 15-L02 - Hypothesis Testing with Python.pdf,https://login.codingdojo.com/m/376/12528/88194
Week_15,Lecture_02,Wk 15-L02 - Hypothesis Testing with Python.pdf,../Week_15/Lecture_02/Wk 15-L02 - Hypothesis Testing with Python.pdf,https://github.com/coding-dojo-data-science/data-enrichment-mock-belt-exam
Week_15,Lecture_02,Wk 15-L02 - Hypothesis Testing with Python.pdf,../Week_15/Lecture_02/Wk 15-L02 - Hypothesis Testing with Python.pdf,https://forms.gle/bUxX4rznSEkpgaPR9
Week_15,Lecture_02,Wk 15-L02 - Hypothesis Testing with Python.pdf,../Week_15/Lecture_02/Wk 15-L02 - Hypothesis Testing with Python.pdf,https://github.com/coding-dojo-data-science/data-enrichment-hypothesis-testing-codealong
Week_15,Lecture_02,Wk 15-L02 - Hypothesis Testing with Python.pdf,../Week_15/Lecture_02/Wk 15-L02 - Hypothesis Testing with Python.pdf,github.com
Week_16,Lecture_01,Wk 16-L01 - Linear Regression - Revisited.pdf,../Week_16/Lecture_01/Wk 16-L01 - Linear Regression - Revisited.pdf,https://github.com/coding-dojo-data-science/data-enrichment-linear-regression-with-movies
Week_16,Lecture_02,Wk 16-L02 - Diagnosing and Interpreting Linear Regression.pdf,../Week_16/Lecture_02/Wk 16-L02 - Diagnosing and Interpreting Linear Regression.pdf,https://github.com/sensei-jirving/Online-DS-PT-01.24.22-cohort-notes
Week_16,Lecture_02,Wk 16-L02 - Diagnosing and Interpreting Linear Regression.pdf,../Week_16/Lecture_02/Wk 16-L02 - Diagnosing and Interpreting Linear Regression.pdf,https://github.com/coding-dojo-data-science/data-enrichment-linear-regression-with-movies
Week_16,Lecture_02,Wk 16-L02 - Diagnosing and Interpreting Linear Regression.pdf,../Week_16/Lecture_02/Wk 16-L02 - Diagnosing and Interpreting Linear Regression.pdf,https://youtube.com/playlist?list=PLmeeqPbYmMC0XlmuN4agv0zvuAXP8HZS_
Week_16,Lecture_02,Wk 16-L02 - Diagnosing and Interpreting Linear Regression.pdf,../Week_16/Lecture_02/Wk 16-L02 - Diagnosing and Interpreting Linear Regression.pdf,https://www.geeksforgeeks.org/detecting-multicollinear
Week_16,Lecture_02,Wk 16-L02 - Diagnosing and Interpreting Linear Regression.pdf,../Week_16/Lecture_02/Wk 16-L02 - Diagnosing and Interpreting Linear Regression.pdf,https://login.codingdojo.com/dashboard/end-stack-survey
Week_16,Lecture_02,Wk 16-L02 - Diagnosing and Interpreting Linear Regression.pdf,../Week_16/Lecture_02/Wk 16-L02 - Diagnosing and Interpreting Linear Regression.pdf,https://towardsdatascience.co
